TanggalInteger,Temp_surface_sea,month
20221213,30.0,12
20221214,30.0,12
20221215,30.0,12
20221216,30.0,12
20221217,30.0,12
20221218,30.0,12
20221219,30.0,12
20221220,30.0,12
20221221,30.0,12
20221222,30.0,12
20221223,30.0,12
20221224,30.0,12
20221225,30.0,12
20221226,30.0,12
20221227,29.0,12
20221228,29.0,12
20221229,29.0,12
20221230,30.0,12
20221231,30.0,12
20230101,29.0,1
20230102,29.0,1
20230103,29.0,1
20230104,29.0,1
20230105,29.0,1
20230106,29.0,1
20230107,29.0,1
20230108,29.0,1
20230109,29.0,1
20230110,29.0,1
20230111,29.0,1
20230112,29.0,1
20230113,29.0,1
20230114,29.0,1
20230115,29.0,1
20230116,29.0,1
20230117,29.0,1
20230118,29.0,1
20230119,29.0,1
20230120,29.0,1
20230121,29.0,1
20230122,29.0,1
20230123,29.0,1
20230124,29.0,1
20230125,29.0,1
20230126,29.0,1
20230127,28.0,1
20230128,28.0,1
20230129,28.0,1
20230130,28.0,1
20230131,28.0,1
20230201,28.0,2
20230202,28.0,2
20230203,29.0,2
20230204,29.0,2
20230205,29.0,2
20230206,29.0,2
20230207,29.0,2
20230208,29.0,2
20230209,29.0,2
20230210,29.0,2
